2016-06-09 16:25:37 [ol_normalize_data] [INFO ]  [79/771] Processing raster data/processed/features/udr/european_tetrapods/birds/burhinus_oedicnemus.tif
2016-06-09 16:25:37 [ol_normalize_data] [DEBUG]  [79/771] Reading in data and OL normalizing
2016-06-09 16:25:38 [ol_normalize_data] [DEBUG]  [79/771] Summing values
2016-06-09 16:25:38 [ol_normalize_data] [INFO ]  [80/771] Processing raster data/processed/features/udr/european_tetrapods/birds/buteo_buteo.tif
2016-06-09 16:25:38 [ol_normalize_data] [DEBUG]  [80/771] Reading in data and OL normalizing
2016-06-09 16:25:38 [ol_normalize_data] [DEBUG]  [80/771] Summing values
2016-06-09 16:25:38 [ol_normalize_data] [INFO ]  [81/771] Processing raster data/processed/features/udr/european_tetrapods/birds/buteo_lagopus.tif
2016-06-09 16:25:38 [ol_normalize_data] [DEBUG]  [81/771] Reading in data and OL normalizing
2016-06-09 16:25:39 [ol_normalize_data] [DEBUG]  [81/771] Summing values
2016-06-09 16:25:39 [ol_normalize_data] [INFO ]  [82/771] Processing raster data/processed/features/udr/european_tetrapods/birds/buteo_rufinus.tif
2016-06-09 16:25:39 [ol_normalize_data] [DEBUG]  [82/771] Reading in data and OL normalizing
2016-06-09 16:25:39 [ol_normalize_data] [DEBUG]  [82/771] Summing values
2016-06-09 16:25:39 [ol_normalize_data] [INFO ]  [83/771] Processing raster data/processed/features/udr/european_tetrapods/birds/calandrella_brachydactyla.tif
2016-06-09 16:25:39 [ol_normalize_data] [DEBUG]  [83/771] Reading in data and OL normalizing
2016-06-09 16:25:39 [ol_normalize_data] [DEBUG]  [83/771] Summing values
2016-06-09 16:25:39 [ol_normalize_data] [INFO ]  [84/771] Processing raster data/processed/features/udr/european_tetrapods/birds/calandrella_rufescens.tif
2016-06-09 16:25:39 [ol_normalize_data] [DEBUG]  [84/771] Reading in data and OL normalizing
2016-06-09 16:25:40 [ol_normalize_data] [DEBUG]  [84/771] Summing values
2016-06-09 16:25:40 [ol_normalize_data] [INFO ]  [85/771] Processing raster data/processed/features/udr/european_tetrapods/birds/calcarius_lapponicus.tif
2016-06-09 16:25:40 [ol_normalize_data] [DEBUG]  [85/771] Reading in data and OL normalizing
2016-06-09 16:25:40 [ol_normalize_data] [DEBUG]  [85/771] Summing values
2016-06-09 16:25:40 [ol_normalize_data] [INFO ]  [86/771] Processing raster data/processed/features/udr/european_tetrapods/birds/calidris_canutus.tif
2016-06-09 16:25:40 [ol_normalize_data] [DEBUG]  [86/771] Reading in data and OL normalizing
